Note: Window features are placed at the end of the addresses for that window [Final column for the day].

Address,Year,Day,Amount Sent,Income,Neighbours,CoAddresses,Is Randsome
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
0 in 2009,2009,347,0,0.0,2,0,true
